Comedy,6685,0.089225,7973,0.106416,14658,0.195641,58977,0.787168
Drama,19532,0.260694,4773,0.063705,24305,0.324400,65377,0.872589
Action,12,0.000160,6574,0.087743,6586,0.087904,61775,0.824513
Documentary,4419,0.058981,4659,0.062184,9078,0.121164,65605,0.875632
Adult,0,0.000000,548,0.007314,548,0.007314,73827,0.985372
Romance,63,0.000841,7397,0.098728,7460,0.099569,60129,0.802544
Thriller,1,0.000013,7457,0.099529,7458,0.099542,60009,0.800942
Animation,0,0.000000,4153,0.055430,4153,0.055430,66617,0.889140
Family,0,0.000000,5522,0.073702,5522,0.073702,63879,0.852595
Horror,0,0.000000,5098,0.068043,5098,0.068043,64727,0.863914
Music,0,0.000000,3021,0.040321,3021,0.040321,68881,0.919357
Crime,0,0.000000,4970,0.066335,4970,0.066335,64983,0.867330
Adventure,0,0.000000,4714,0.062918,4714,0.062918,65495,0.874164
Fantasy,0,0.000000,3737,0.049878,3737,0.049878,67449,0.900244
Sci-Fi,0,0.000000,3499,0.046701,3499,0.046701,67925,0.906597
Mystery,0,0.000000,3533,0.047155,3533,0.047155,67857,0.905690
Biography,0,0.000000,3648,0.048690,3648,0.048690,67627,0.902620
History,0,0.000000,3223,0.043017,3223,0.043017,68477,0.913965
Sport,5,0.000067,1528,0.020394,1533,0.020461,71867,0.959211
Musical,0,0.000000,1482,0.019780,1482,0.019780,71959,0.960439
War,0,0.000000,2016,0.026908,2016,0.026908,70891,0.946185
Western,0,0.000000,1774,0.023678,1774,0.023678,71375,0.952645
News,0,0.000000,1374,0.018339,1374,0.018339,72175,0.963322
Reality-TV,0,0.000000,637,0.008502,637,0.008502,73649,0.982996
## Total: 16021 of 74923 (0.213833) movies completely correctly classified ##
Total,30717,0.017083,93310,0.051892,124027,0.068975,1674125,0.931025
